Gene ID,Gene Accession,Gene name,Reaction id,Reaction EC,Enzymatic activity,Evidence,
AT5G14060,AT5G14060.1,AT5G14060.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-COMP,
AT3G02020,AT3G02020.1,AT3G02020.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT5G13280,AT5G13280.1,AT5G13280.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-COMP,
AT4G19710,AT4G19710.2,AK-HSDH2,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT3G02020,AT3G02020.1,AT3G02020.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT1G31230,AT1G31230.1,AK-HSDH1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT1G14810,AT1G14810.1,AT1G14810.1,ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.11,aspartate semialdehyde dehydrogenase,EV-EXP,
AT5G21060,AT5G21060.2,AT5G21060.2,HOMOSERDEHYDROG-RXN,1.1.1.3,homoserine dehydrogenase,EV-COMP,
AT4G19710,AT4G19710.2,AK-HSDH2,HOMOSERDEHYDROG-RXN,1.1.1.3,homoserine dehydrogenase,EV-EXP,
AT1G31230,AT1G31230.1,AK-HSDH1,HOMOSERDEHYDROG-RXN,1.1.1.3,homoserine dehydrogenase,EV-EXP,
GQT-4387,AT4G35295.1,AT4G35295.1,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-COMP,
AT2G17265,AT2G17265.1,HSK,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-EXP,
AT1G72810,AT1G72810.1,AT1G72810.1,THRESYN-RXN,4.2.3.1,threonine synthase,EV-COMP,
AT4G29840,AT4G29840.1,MTO2,THRESYN-RXN,4.2.3.1,threonine synthase,EV-EXP,
GQT-4387,AT4G35295.1,AT4G35295.1,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-COMP,
AT2G17265,AT2G17265.1,HSK,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-EXP,
AT1G72810,AT1G72810.1,AT1G72810.1,THRESYN-RXN,4.2.3.1,threonine synthase,EV-COMP,
AT4G29840,AT4G29840.1,MTO2,THRESYN-RXN,4.2.3.1,threonine synthase,EV-EXP,
AT1G25155,AT1G25155.1,AT1G25155.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-COMP,
AT1G24807,AT1G24807.1,AT1G24807.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-COMP,
AT1G25083,AT1G25083.1,AT1G25083.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-COMP,
AT1G24909,AT1G24909.1,AT1G24909.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-COMP,
GQT-4861,AT1G70570.2,AT1G70570.2,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-COMP,
AT5G57890,AT5G57890.1,AT5G57890.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-EXP,
AT5G05730,AT5G05730.2,AT5G05730.2,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-EXP,
AT3G55870,AT3G55870.1,AT3G55870.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-COMP,
AT2G29690,AT2G29690.1,AT2G29690.1,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-EXP,
AT1G25220,AT1G25220.2,AT1G25220.2,ANTHRANSYN-RXN,4.1.3.27,anthranilate synthase,EV-EXP,
GQT-4861,AT1G70570.2,AT1G70570.2,PRTRANS-RXN,2.4.2.18,anthranilate phosphoribosyltransferase,EV-COMP,
AT5G17990,AT5G17990.1,AT5G17990.1,PRTRANS-RXN,2.4.2.18,anthranilate phosphoribosyltransferase,EV-EXP,
GQT-135,AT1G07780.1,AT1G07780.1,PRAISOM-RXN,5.3.1.24,phosphoribosylanthranilate isomerase,EV-COMP,
PAI4,,PAI4,PRAISOM-RXN,5.3.1.24,phosphoribosylanthranilate isomerase,EV-AS,
AT5G05590,AT5G05590.1,AT5G05590.1,PRAISOM-RXN,5.3.1.24,phosphoribosylanthranilate isomerase,EV-EXP,
AT1G29410,AT1G29410.2,AT1G29410.2,PRAISOM-RXN,5.3.1.24,phosphoribosylanthranilate isomerase,EV-EXP,
AT1G07780,AT1G07780.3,AT1G07780.3,PRAISOM-RXN,5.3.1.24,phosphoribosylanthranilate isomerase,EV-EXP,
AT5G48220,AT5G48220.1,AT5G48220.1,IGPSYN-RXN,4.1.1.48,indole-3-glycerol-phosphate synthase,EV-COMP,
AT2G04400,AT2G04400.1,AT2G04400.1,IGPSYN-RXN,4.1.1.48,indole-3-glycerol-phosphate synthase,EV-EXP,
AT5G54810,AT5G54810.1,AT5G54810.1,RXN0-2381,4.1.2.8,indole-3-glycerol-phosphate lyase,EV-COMP,
AT4G27070,AT4G27070.1,AT4G27070.1,RXN0-2381,4.1.2.8,indole-3-glycerol-phosphate lyase,EV-COMP,
AT5G38530,AT5G38530.1,TSBType2,RXN0-2381,4.1.2.8,indole-3-glycerol-phosphate lyase,EV-COMP,
AT5G28237,AT5G28237.1,AT5G28237.1,RXN0-2381,4.1.2.8,indole-3-glycerol-phosphate lyase,EV-COMP,
AT3G54640,AT3G54640.1,AT3G54640.1,RXN0-2381,4.1.2.8,tryptophan synthase, alpha subunit,EV-EXP
AT4G02610,AT4G02610.1,AT4G02610.1,RXN0-2381,4.1.2.8,tryptophan synthase, alpha subunit,EV-EXP
AT4G02610,AT4G02610.1,AT4G02610.1,RXN0-2382,4.2.1.122,AT4G02610.1,No Evidence Code,
AT3G54640,AT3G54640.1,AT3G54640.1,RXN0-2382,4.2.1.122,tryptophan synthase (indole-salvaging),EV-COMP,
AT4G27070,AT4G27070.1,AT4G27070.1,RXN0-2382,4.2.1.122,tryptophan synthase (indole-salvaging),EV-COMP,
AT5G28237,AT5G28237.1,AT5G28237.1,RXN0-2382,4.2.1.122,tryptophan synthase (indole-salvaging),EV-COMP,
AT5G38530,AT5G38530.1,TSBType2,RXN0-2382,4.2.1.122,tryptophan synthase,EV-EXP,
AT5G54810,AT5G54810.1,AT5G54810.1,RXN0-2382,4.2.1.122,tryptophan synthase beta subunit,EV-EXP,
AT3G29200,AT3G29200.1,AT3G29200.1,CHORISMATEMUT-RXN,5.4.99.5,chorismate mutase,EV-EXP,
AT5G10870,AT5G10870.1,AT5G10870.1,CHORISMATEMUT-RXN,5.4.99.5,chorismate mutase,EV-EXP,
AT1G69370,AT1G69370.1,AT1G69370.1,CHORISMATEMUT-RXN,5.4.99.5,chorismate mutase,EV-EXP,
AT2G22250,AT2G22250.2,AT2G22250.2,PREPHENATE-TRANSAMINE-RXN,2.6.1.79,prephenate aminotransferase,EV-EXP,
AT1G15710,AT1G15710.1,AT1G15710.1,RXN-5682,1.3.1.78,arogenate dehydrogenase,EV-EXP,
AT5G34930,AT5G34930.1,AT5G34930.1,RXN-5682,1.3.1.78,arogenate dehydrogenase,EV-EXP,
AT5G16290,AT5G16290.1,AT5G16290.1,ACETOLACTSYN-RXN,2.2.1.6,acetolactate synthase,EV-COMP,
AT2G31810,AT2G31810.1,AT2G31810.1,ACETOLACTSYN-RXN,2.2.1.6,acetolactate synthase,EV-COMP,
AT3G48560,AT3G48560.1,AT3G48560.1,ACETOLACTSYN-RXN,2.2.1.6,acetolactate synthase,EV-EXP,
AT3G58610,AT3G58610.1,AT3G58610.1,ACETOLACTREDUCTOISOM-RXN,1.1.1.86,ketol-acid reductoisomerase,EV-COMP,
AT3G23940,AT3G23940.1,AT3G23940.1,DIHYDROXYISOVALDEHYDRAT-RXN,4.2.1.9,dihydroxyacid dehydrogenase,EV-AS,
GQT-502,AT3G05190.1,AT3G05190.1,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
GQT-279,AT5G27410.2,AT5G27410.2,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
AT3G49680,AT3G49680.1,Atbcat-3,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT1G10070,AT1G10070.1,Atbcat-2,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT5G65780,AT5G65780.1,Atbact-5,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-EXP,
AT1G08250,AT1G08250.1,AT1G08250.1,PREPHENATEDEHYDRAT-RXN,4.2.1.51,prephenate dehydratase,EV-COMP,
AT2G27820,AT2G27820.1,AT2G27820.1,PREPHENATEDEHYDRAT-RXN,4.2.1.51,prephenate dehydratase,EV-COMP,
AT1G11790,AT1G11790.1,AT1G11790.1,PREPHENATEDEHYDRAT-RXN,4.2.1.51,prephenate dehydratase,EV-COMP,
AT3G07630,AT3G07630.1,AT3G07630.1,PREPHENATEDEHYDRAT-RXN,4.2.1.51,prephenate dehydratase,EV-COMP,
AT5G53970,AT5G53970.1,AT5G53970.1,RXN-15200,2.6.1.-,AT5G53970.1,No Evidence Code,
AT1G06570,AT1G06570.1,PDS1,4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN,1.13.11.27,4-hydroxyphenylpyruvate dioxygenase,EV-EXP,
AT1G70560,AT1G70560.1,TAA1,PHEAMINOTRANS-RXN,2.6.1.57,L-phenylalanine:2-oxoglutarate aminotransferase,EV-EXP,
AT5G51690,AT5G51690.1,ACS12,PHEAMINOTRANS-RXN,2.6.1.57,aromatic-amino-acid transaminase,EV-EXP,
AT1G62960,AT1G62960.1,ACS10,PHEAMINOTRANS-RXN,2.6.1.57,aromatic-amino-acid transaminase,EV-EXP,
AT5G53970,AT5G53970.1,AT5G53970.1,PHEAMINOTRANS-RXN,2.6.1.57,tyrosine transaminase,EV-AS,
AT3G29200,AT3G29200.1,AT3G29200.1,CHORISMATEMUT-RXN,5.4.99.5,chorismate mutase,EV-EXP,
AT5G10870,AT5G10870.1,AT5G10870.1,CHORISMATEMUT-RXN,5.4.99.5,chorismate mutase,EV-EXP,
AT1G69370,AT1G69370.1,AT1G69370.1,CHORISMATEMUT-RXN,5.4.99.5,chorismate mutase,EV-EXP,
AT2G22250,AT2G22250.2,AT2G22250.2,PREPHENATE-TRANSAMINE-RXN,2.6.1.79,prephenate aminotransferase,EV-EXP,
AT1G08250,AT1G08250.1,AT1G08250.1,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,4.2.1.91,arogenate dehydratase,EV-EXP,
AT3G44720,AT3G44720.1,AT3G44720.1,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,4.2.1.91,arogenate dehydratase,EV-EXP,
AT2G27820,AT2G27820.1,AT2G27820.1,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,4.2.1.91,arogenate dehydratase,EV-EXP,
AT3G07630,AT3G07630.1,AT3G07630.1,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,4.2.1.91,arogenate dehydratase,EV-EXP,
AT1G11790,AT1G11790.1,AT1G11790.1,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,4.2.1.91,arogenate dehydratase,EV-EXP,
AT5G22630,AT5G22630.1,AT5G22630.1,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,4.2.1.91,arogenate dehydratase,EV-EXP,
